msg_id,channel,received_at,sender_name,sender_phone,body,address_in_msg,county_in_msg,listing_in_msg,expected_topic,expected_urgency,expected_owner
SMS-0013,sms,2026-05-11T07:26:00Z,Tester Buyer-Smith,+14045550199,Looking for a 3BR/2BA in DeKalb county under $550k. Do you have anything coming up?,"7760 Cedar Trail, Dunwoody, GA",DeKalb,,buyer_lead,P2,Nathalie
SMS-0014,sms,2026-04-27T08:19:00Z,Tester Buyer-Smith,+14045550199,"Plumber invoice for 134 Sycamore Blvd, Cumming, GA - approving with your sign-off.","134 Sycamore Blvd, Cumming, GA",Forsyth,,vendor,P3,Noa
SMS-0015,sms,2026-04-25T10:01:00Z,Tester Buyer-Smith,+14045550199,Dentist appointment confirmed for Tuesday 2pm.,"1725 Pine Rd, Cumming, GA",Forsyth,,personal,P3,ARCHIVE
SMS-0016,sms,2026-05-14T23:45:00Z,Tester Buyer-Smith,+14045550199,"Locked out of 3107 Sycamore Blvd, Canton, GA at 11pm with the kids in the car.","3107 Sycamore Blvd, Canton, GA",Cherokee,,tenant_issue,P0,Nathalie
SMS-0017,sms,2026-05-11T12:05:00Z,Tester Buyer-Smith,+14045550199,"Our offer on 5811 Maple Dr, Sandy Springs, GA expires at 5pm today, can you confirm acceptance??","5811 Maple Dr, Sandy Springs, GA",Fulton,,buyer_lead,P0,Nathalie
SMS-0018,sms,2026-04-16T13:43:00Z,Tester Buyer-Smith,+14045550199,"Could you send me the seller's disclosure for 1123 Cedar Trail, Cumming, GA (MLS MLS-7353204)?","1123 Cedar Trail, Cumming, GA",Forsyth,MLS-7353204,document,P2,Noa
SMS-0019,sms,2026-04-24T15:01:00Z,Tester Buyer-Smith,+14045550199,"CLAIM YOUR PRIZE NOW - you've won $10,000! Click here: http://scam.example/","9483 Riverbend Way, Atlanta, GA",Fulton,,spam,P3,ARCHIVE
SMS-0020,sms,2026-04-20T17:04:00Z,Tester Buyer-Smith,+14045550199,I'm a Nigerian prince and need your help moving $25M...,"2793 Cedar Trail, Cumming, GA",Forsyth,,spam,P3,ARCHIVE
SMS-0021,sms,2026-03-24T11:10:00Z,Tester Buyer-Smith,+14045550199,I paid rent on the 1st but it doesn't show in the portal yet.,"1899 Riverbend Way, Sugar Hill, GA",Gwinnett,,billing,P2,Noa
SMS-0022,sms,2026-05-12T08:37:00Z,Tester Buyer-Smith,+14045550199,"Need to renew the lease at 9128 Riverbend Way, Kennesaw, GA. Can you send the renewal terms?","9128 Riverbend Way, Kennesaw, GA",Cobb,,contract,P2,Noa
SMS-0023,sms,2026-03-25T06:25:00Z,Tester Buyer-Smith,+14045550199,"Running 15 min late to the showing at 3549 Peachtree St, Kennesaw, GA, please tell the agent.","3549 Peachtree St, Kennesaw, GA",Cobb,,showing,P1,Fabi
SMS-0024,sms,2026-04-05T22:03:00Z,Tester Buyer-Smith,+14045550199,"Plumber invoice for 3027 Willow Pkwy, Canton, GA - approving with your sign-off.","3027 Willow Pkwy, Canton, GA",Cherokee,,vendor,P3,Noa
SMS-0025,sms,2026-04-25T19:43:00Z,Tester Buyer-Smith,+14045550199,"CLAIM YOUR PRIZE NOW - you've won $10,000! Click here: http://scam.example/","3695 Magnolia Ln, Sandy Springs, GA",Fulton,,spam,P3,ARCHIVE
SMS-0026,sms,2026-03-26T03:13:00Z,Tester Buyer-Smith,+14045550199,"Our offer on 7412 Peachtree St, Brookhaven, GA expires at 5pm today, can you confirm acceptance??","7412 Peachtree St, Brookhaven, GA",DeKalb,,buyer_lead,P0,Nathalie
SMS-0027,sms,2026-03-26T04:37:00Z,Tester Buyer-Smith,+14045550199,"Insurance renewal for 6151 Magnolia Ln, Cumming, GA is due next month.","6151 Magnolia Ln, Cumming, GA",Forsyth,,admin,P3,Noa
SMS-0028,sms,2026-03-20T23:54:00Z,Tester Buyer-Smith,+14045550199,"Hi, I saw the listing at 3682 Cedar Trail, Cumming, GA. Is it still available? I'd love a tour this weekend.","3682 Cedar Trail, Cumming, GA",Forsyth,,buyer_lead,P2,Fabi
SMS-0029,sms,2026-03-31T19:47:00Z,Tester Buyer-Smith,+14045550199,"Need to renew the lease at 2307 Pine Rd, Sugar Hill, GA. Can you send the renewal terms?","2307 Pine Rd, Sugar Hill, GA",Gwinnett,,contract,P2,Noa
SMS-0030,sms,2026-04-16T01:16:00Z,Tester Buyer-Smith,+14045550199,"Neighbor in unit B has been playing loud music until 2am for a week. 4075 Pine Rd, Marietta, GA","4075 Pine Rd, Marietta, GA",Cobb,,tenant_issue,P2,Nathalie
SMS-0031,sms,2026-04-25T07:28:00Z,Tester Buyer-Smith,+14045550199,"AC stopped cooling at 8778 Sycamore Blvd, Sugar Hill, GA. Indoor temp is 84F.","8778 Sycamore Blvd, Sugar Hill, GA",Gwinnett,,tenant_issue,P1,Nathalie
SMS-0032,sms,2026-04-30T22:41:00Z,Tester Buyer-Smith,+14045550199,"Hi Nathalie, I'd like to sell my house at 8245 Birch Ct, Cumming, GA. What's the market like in Forsyth right now?","8245 Birch Ct, Cumming, GA",Forsyth,,seller_lead,P2,Fabi
SMS-0033,sms,2026-03-22T11:08:00Z,Tester Buyer-Smith,+14045550199,"Plumber invoice for 8001 Maple Dr, Sandy Springs, GA - approving with your sign-off.","8001 Maple Dr, Sandy Springs, GA",Fulton,,vendor,P3,Noa
SMS-0034,sms,2026-03-23T06:46:00Z,Tester Buyer-Smith,+14045550199,"Can we set up a walkthrough next Tuesday for the move-out at 432 Oak Ave, Decatur, GA?","432 Oak Ave, Decatur, GA",DeKalb,,scheduling,P2,Noa
SMS-0035,sms,2026-03-23T22:22:00Z,Tester Buyer-Smith,+14045550199,The dog has a vet appointment Thursday at 10am.,"8499 Cedar Trail, Smyrna, GA",Cobb,,personal,P3,ARCHIVE
SMS-0036,sms,2026-04-18T07:39:00Z,Tester Buyer-Smith,+14045550199,The dog has a vet appointment Thursday at 10am.,"5153 Riverbend Way, Marietta, GA",Cobb,,personal,P3,ARCHIVE
SMS-0037,sms,2026-04-10T12:26:00Z,Tester Buyer-Smith,+14045550199,I paid rent on the 1st but it doesn't show in the portal yet.,"5242 Maple Dr, Cumming, GA",Forsyth,,billing,P2,Noa
SMS-0038,sms,2026-04-24T09:54:00Z,Tester Buyer-Smith,+14045550199,"I'm at 4691 Magnolia Ln, Decatur, GA but the door is locked. Are you on the way?","4691 Magnolia Ln, Decatur, GA",DeKalb,,showing,P1,Nathalie
SMS-0039,sms,2026-05-01T04:14:00Z,Tester Buyer-Smith,+14045550199,Your monthly newsletter from RealEstateDigest is here.,"7789 Maple Dr, Marietta, GA",Cobb,,marketing_promo,P3,ARCHIVE
SMS-0040,sms,2026-05-10T06:20:00Z,Tester Buyer-Smith,+14045550199,The work order #4421 for the dishwasher - any update?,"154 Cedar Trail, Dunwoody, GA",DeKalb,,maintenance,P2,Noa
SMS-0041,sms,2026-04-26T17:51:00Z,Tester Buyer-Smith,+14045550199,FYI we're out of milk. Can you grab some on the way home?,"7268 Oak Ave, Dunwoody, GA",DeKalb,,personal,P3,ARCHIVE
SMS-0042,sms,2026-04-08T04:41:00Z,Tester Buyer-Smith,+14045550199,Closing tomorrow at 9am and the wire instructions look wrong - help!,"8441 Peachtree St, Dunwoody, GA",DeKalb,,deal,P0,Nathalie
SMS-0043,sms,2026-03-31T01:13:00Z,Tester Buyer-Smith,+14045550199,"CLAIM YOUR PRIZE NOW - you've won $10,000! Click here: http://scam.example/","1976 Pine Rd, Cumming, GA",Forsyth,,spam,P3,ARCHIVE
SMS-0044,sms,2026-03-19T20:58:00Z,Tester Buyer-Smith,+14045550199,"Insurance renewal for 2059 Magnolia Ln, Woodstock, GA is due next month.","2059 Magnolia Ln, Woodstock, GA",Cherokee,,admin,P3,Noa
SMS-0045,sms,2026-04-14T11:35:00Z,Tester Buyer-Smith,+14045550199,FYI we're out of milk. Can you grab some on the way home?,"7039 Peachtree St, Kennesaw, GA",Cobb,,personal,P3,ARCHIVE
SMS-0046,sms,2026-04-13T20:46:00Z,Tester Buyer-Smith,+14045550199,FYI we're out of milk. Can you grab some on the way home?,"4218 Willow Pkwy, Cumming, GA",Forsyth,,personal,P3,ARCHIVE
SMS-0047,sms,2026-04-04T16:16:00Z,Tester Buyer-Smith,+14045550199,Crypto opportunity - 300% return guaranteed. Reply YES.,"9251 Sycamore Blvd, Decatur, GA",DeKalb,,spam,P3,ARCHIVE
SMS-0048,sms,2026-05-06T10:37:00Z,Tester Buyer-Smith,+14045550199,"Could you send me the seller's disclosure for 8633 Oak Ave, Woodstock, GA (MLS MLS-7097303)?","8633 Oak Ave, Woodstock, GA",Cherokee,MLS-7097303,document,P2,Noa
SMS-0049,sms,2026-04-25T09:34:00Z,Tester Buyer-Smith,+14045550199,"Running 15 min late to the showing at 5338 Willow Pkwy, Brookhaven, GA, please tell the agent.","5338 Willow Pkwy, Brookhaven, GA",DeKalb,,showing,P1,Nathalie
SMS-0050,sms,2026-05-03T21:57:00Z,Tester Buyer-Smith,+14045550199,FLASH SALE - 50% off everything at our store this weekend only!,"8013 Peachtree St, Woodstock, GA",Cherokee,,marketing_promo,P3,ARCHIVE
SMS-0051,sms,2026-04-22T01:35:00Z,Tester Buyer-Smith,+14045550199,Dentist appointment confirmed for Tuesday 2pm.,"1968 Oak Ave, Roswell, GA",Fulton,,personal,P3,ARCHIVE
SMS-0052,sms,2026-04-24T15:12:00Z,Tester Buyer-Smith,+14045550199,"Could you send me the seller's disclosure for 8250 Peachtree St, Decatur, GA (MLS MLS-7069044)?","8250 Peachtree St, Decatur, GA",DeKalb,MLS-7069044,document,P2,Noa
SMS-0053,sms,2026-04-12T22:44:00Z,Tester Buyer-Smith,+14045550199,Saw a roach in the kitchen - can pest control come this week?,"7106 Cedar Trail, Cumming, GA",Forsyth,,tenant_issue,P2,Nathalie
SMS-0054,sms,2026-04-09T02:17:00Z,Tester Buyer-Smith,+14045550199,The work order #4421 for the dishwasher - any update?,"5361 Riverbend Way, Brookhaven, GA",DeKalb,,maintenance,P2,Noa
SMS-0055,sms,2026-04-07T11:55:00Z,Tester Buyer-Smith,+14045550199,"Can we set up a walkthrough next Tuesday for the move-out at 8014 Magnolia Ln, Cumming, GA?","8014 Magnolia Ln, Cumming, GA",Forsyth,,scheduling,P2,Noa
SMS-0056,sms,2026-05-04T03:32:00Z,Tester Buyer-Smith,+14045550199,FLASH SALE - 50% off everything at our store this weekend only!,"5276 Cedar Trail, Sandy Springs, GA",Fulton,,marketing_promo,P3,ARCHIVE
SMS-0057,sms,2026-04-02T20:23:00Z,Tester Buyer-Smith,+14045550199,Boost your listings with our premium photography package.,"7870 Peachtree St, Atlanta, GA",Fulton,,marketing_promo,P3,ARCHIVE
SMS-0058,sms,2026-04-08T10:08:00Z,Tester Buyer-Smith,+14045550199,Crypto opportunity - 300% return guaranteed. Reply YES.,"6588 Peachtree St, Marietta, GA",Cobb,,spam,P3,ARCHIVE
SMS-0059,sms,2026-03-24T17:38:00Z,Tester Buyer-Smith,+14045550199,"No heat for 2 days now, my baby is freezing. 5064 Birch Ct, Duluth, GA","5064 Birch Ct, Duluth, GA",Gwinnett,,tenant_issue,P0,Nathalie
SMS-0060,sms,2026-04-23T15:57:00Z,Tester Buyer-Smith,+14045550199,"Can we move tomorrow's showing at 2689 Oak Ave, Kennesaw, GA from 4pm to 6pm?","2689 Oak Ave, Kennesaw, GA",Cobb,,showing,P2,Fabi
SMS-0061,sms,2026-04-30T10:09:00Z,Tester Buyer-Smith,+14045550199,"Locked out of 9717 Cedar Trail, Canton, GA at 11pm with the kids in the car.","9717 Cedar Trail, Canton, GA",Cherokee,,tenant_issue,P0,Nathalie
SMS-0062,sms,2026-04-09T02:56:00Z,Tester Buyer-Smith,+14045550199,"Hey, want to grab dinner Friday at that new ramen place?","171 Peachtree St, Woodstock, GA",Cherokee,,personal,P3,ARCHIVE
SMS-0063,sms,2026-05-07T17:46:00Z,Tester Buyer-Smith,+14045550199,Yoga class moved to 7am tomorrow. Want to come?,"8766 Oak Ave, Marietta, GA",Cobb,,personal,P3,ARCHIVE
SMS-0064,sms,2026-03-25T08:42:00Z,Tester Buyer-Smith,+14045550199,"Gas leak smell in the apartment, I called 911. 5311 Peachtree St, Roswell, GA","5311 Peachtree St, Roswell, GA",Fulton,,tenant_issue,P0,Nathalie
SMS-0065,sms,2026-03-26T04:20:00Z,Tester Buyer-Smith,+14045550199,"Light bulb in the hallway burned out, no rush.","4240 Pine Rd, Brookhaven, GA",DeKalb,,maintenance,P3,Noa
SMS-0066,sms,2026-04-15T04:48:00Z,Tester Buyer-Smith,+14045550199,"Can we set up a walkthrough next Tuesday for the move-out at 1133 Magnolia Ln, Decatur, GA?","1133 Magnolia Ln, Decatur, GA",DeKalb,,scheduling,P2,Noa
SMS-0067,sms,2026-04-29T06:07:00Z,Tester Buyer-Smith,+14045550199,"Neighbor in unit B has been playing loud music until 2am for a week. 4140 Cedar Trail, Cumming, GA","4140 Cedar Trail, Cumming, GA",Forsyth,,tenant_issue,P2,Nathalie
SMS-0068,sms,2026-05-04T01:24:00Z,Tester Buyer-Smith,+14045550199,"Vendor said they'd be here at 10am, no show. Can you check on them?","6078 Willow Pkwy, Decatur, GA",DeKalb,,maintenance,P2,Noa
SMS-0069,sms,2026-05-10T14:17:00Z,Tester Buyer-Smith,+14045550199,Saw a roach in the kitchen - can pest control come this week?,"3388 Peachtree St, Woodstock, GA",Cherokee,,tenant_issue,P2,Nathalie
SMS-0070,sms,2026-04-18T06:09:00Z,Tester Buyer-Smith,+14045550199,The dog has a vet appointment Thursday at 10am.,"5177 Sycamore Blvd, Marietta, GA",Cobb,,personal,P3,ARCHIVE
SMS-0071,sms,2026-05-02T06:44:00Z,Tester Buyer-Smith,+14045550199,Need to move ASAP - relocating for work in 3 weeks. Can you call me today?,"4232 Willow Pkwy, Brookhaven, GA",DeKalb,,buyer_lead,P1,Nathalie
SMS-0072,sms,2026-04-12T09:31:00Z,Tester Buyer-Smith,+14045550199,"Just confirming the security deposit is $1,500 not $2,000 like the email said.","1163 Birch Ct, Dunwoody, GA",DeKalb,,billing,P3,Noa
SMS-0073,sms,2026-04-08T04:41:00Z,Tester Buyer-Smith,+14045550199,"Can we move tomorrow's showing at 4873 Peachtree St, Atlanta, GA from 4pm to 6pm?","4873 Peachtree St, Atlanta, GA",Fulton,,showing,P2,Nathalie
SMS-0074,sms,2026-03-30T07:57:00Z,Tester Buyer-Smith,+14045550199,"Appraisal came in at $620k for 1140 Riverbend Way, Dunwoody, GA. Numbers look good.","1140 Riverbend Way, Dunwoody, GA",DeKalb,,deal,P2,Nathalie
SMS-0075,sms,2026-05-03T06:30:00Z,Tester Buyer-Smith,+14045550199,"The painter quoted $1,800 for unit B at 713 Magnolia Ln, Canton, GA - does that look right?","713 Magnolia Ln, Canton, GA",Cherokee,,vendor,P2,Noa
SMS-0076,sms,2026-04-13T16:28:00Z,Tester Buyer-Smith,+14045550199,"Just confirming the security deposit is $1,500 not $2,000 like the email said.","2017 Oak Ave, Woodstock, GA",Cherokee,,billing,P3,Noa
SMS-0077,sms,2026-04-06T13:29:00Z,Tester Buyer-Smith,+14045550199,The dog has a vet appointment Thursday at 10am.,"318 Magnolia Ln, Cumming, GA",Forsyth,,personal,P3,ARCHIVE
SMS-0078,sms,2026-03-31T12:35:00Z,Tester Buyer-Smith,+14045550199,"Plumber invoice for 9139 Pine Rd, Brookhaven, GA - approving with your sign-off.","9139 Pine Rd, Brookhaven, GA",DeKalb,,vendor,P3,Noa
SMS-0079,sms,2026-04-14T19:19:00Z,Tester Buyer-Smith,+14045550199,Boost your listings with our premium photography package.,"2396 Pine Rd, Cumming, GA",Forsyth,,marketing_promo,P3,ARCHIVE
SMS-0080,sms,2026-04-14T17:28:00Z,Tester Buyer-Smith,+14045550199,Need to move ASAP - relocating for work in 3 weeks. Can you call me today?,"5549 Magnolia Ln, Brookhaven, GA",DeKalb,,buyer_lead,P1,Nathalie
SMS-0081,sms,2026-04-27T22:44:00Z,Tester Buyer-Smith,+14045550199,Lender needs proof of homeowners insurance by end of day.,"457 Maple Dr, Kennesaw, GA",Cobb,,document,P1,Noa
SMS-0082,sms,2026-05-12T15:12:00Z,Tester Buyer-Smith,+14045550199,Lender needs proof of homeowners insurance by end of day.,"2756 Oak Ave, Sandy Springs, GA",Fulton,,document,P1,Noa
SMS-0083,sms,2026-03-26T13:48:00Z,Tester Buyer-Smith,+14045550199,Are you a real estate agent? Try our new CRM free for 30 days.,"1239 Cedar Trail, Lawrenceville, GA",Gwinnett,,marketing_promo,P3,ARCHIVE
SMS-0084,sms,2026-05-06T15:32:00Z,Tester Buyer-Smith,+14045550199,FLASH SALE - 50% off everything at our store this weekend only!,"6190 Riverbend Way, Lawrenceville, GA",Gwinnett,,marketing_promo,P3,ARCHIVE
SMS-0085,sms,2026-05-13T23:05:00Z,Tester Buyer-Smith,+14045550199,"Counter-offer received on 7050 Maple Dr, Sandy Springs, GA - they want 5k more. What do you think?","7050 Maple Dr, Sandy Springs, GA",Fulton,,deal,P1,Nathalie
SMS-0086,sms,2026-03-19T11:08:00Z,Tester Buyer-Smith,+14045550199,"Bathroom faucet is dripping non-stop, can a plumber come look?","6966 Birch Ct, Canton, GA",Cherokee,,tenant_issue,P2,Nathalie
SMS-0087,sms,2026-04-10T23:56:00Z,Tester Buyer-Smith,+14045550199,Looking for a 3BR/2BA in Gwinnett county under $550k. Do you have anything coming up?,"5842 Riverbend Way, Lawrenceville, GA",Gwinnett,,buyer_lead,P2,Fabi
SMS-0088,sms,2026-04-08T05:24:00Z,Tester Buyer-Smith,+14045550199,I'm a Nigerian prince and need your help moving $25M...,"4828 Willow Pkwy, Dunwoody, GA",DeKalb,,spam,P3,ARCHIVE
SMS-0089,sms,2026-03-21T18:42:00Z,Tester Buyer-Smith,+14045550199,"No heat for 2 days now, my baby is freezing. 6021 Pine Rd, Marietta, GA","6021 Pine Rd, Marietta, GA",Cobb,,tenant_issue,P0,Nathalie
SMS-0090,sms,2026-04-18T05:35:00Z,Tester Buyer-Smith,+14045550199,Closing tomorrow at 9am and the wire instructions look wrong - help!,"365 Riverbend Way, Cumming, GA",Forsyth,,deal,P0,Nathalie
SMS-0091,sms,2026-04-18T16:51:00Z,Tester Buyer-Smith,+14045550199,Are you a real estate agent? Try our new CRM free for 30 days.,"2387 Pine Rd, Sandy Springs, GA",Fulton,,marketing_promo,P3,ARCHIVE
SMS-0092,sms,2026-05-05T21:35:00Z,Tester Buyer-Smith,+14045550199,I'm a Nigerian prince and need your help moving $25M...,"9621 Magnolia Ln, Dunwoody, GA",DeKalb,,spam,P3,ARCHIVE
SMS-0093,sms,2026-04-27T04:53:00Z,Tester Buyer-Smith,+14045550199,"Insurance renewal for 2039 Birch Ct, Sugar Hill, GA is due next month.","2039 Birch Ct, Sugar Hill, GA",Gwinnett,,admin,P3,Noa
SMS-0094,sms,2026-03-27T04:42:00Z,Tester Buyer-Smith,+14045550199,"Pickup at school is at 3:15 today, can you grab the kids?","4752 Peachtree St, Sugar Hill, GA",Gwinnett,,personal,P3,ARCHIVE
SMS-0095,sms,2026-04-21T08:09:00Z,Tester Buyer-Smith,+14045550199,"Need your signature on the addendum for 6432 Riverbend Way, Sugar Hill, GA before 5pm.","6432 Riverbend Way, Sugar Hill, GA",Gwinnett,,contract,P1,Noa
SMS-0096,sms,2026-04-16T14:40:00Z,Tester Buyer-Smith,+14045550199,"Hi, I saw the listing at 5320 Peachtree St, Roswell, GA. Is it still available? I'd love a tour this weekend.","5320 Peachtree St, Roswell, GA",Fulton,,buyer_lead,P2,Nathalie
SMS-0097,sms,2026-04-02T10:18:00Z,Tester Buyer-Smith,+14045550199,The dog has a vet appointment Thursday at 10am.,"907 Birch Ct, Sugar Hill, GA",Gwinnett,,personal,P3,ARCHIVE
SMS-0098,sms,2026-03-28T19:28:00Z,Tester Buyer-Smith,+14045550199,"Running 15 min late to the showing at 6217 Maple Dr, Decatur, GA, please tell the agent.","6217 Maple Dr, Decatur, GA",DeKalb,,showing,P1,Nathalie
SMS-0099,sms,2026-04-03T10:28:00Z,Tester Buyer-Smith,+14045550199,"Insurance renewal for 1951 Cedar Trail, Kennesaw, GA is due next month.","1951 Cedar Trail, Kennesaw, GA",Cobb,,admin,P3,Noa
SMS-0100,sms,2026-04-14T00:30:00Z,Tester Buyer-Smith,+14045550199,Crypto opportunity - 300% return guaranteed. Reply YES.,"2419 Oak Ave, Lawrenceville, GA",Gwinnett,,spam,P3,ARCHIVE
SMS-0101,sms,2026-04-24T23:35:00Z,Tester Buyer-Smith,+14045550199,"Could you send me the seller's disclosure for 4747 Cedar Trail, Roswell, GA (MLS MLS-7370327)?","4747 Cedar Trail, Roswell, GA",Fulton,MLS-7370327,document,P2,Noa
SMS-0102,sms,2026-04-05T12:06:00Z,Tester Buyer-Smith,+14045550199,"Counter-offer received on 9546 Magnolia Ln, Cumming, GA - they want 5k more. What do you think?","9546 Magnolia Ln, Cumming, GA",Forsyth,,deal,P1,Nathalie
SMS-0103,sms,2026-04-30T20:00:00Z,Tester Buyer-Smith,+14045550199,Boost your listings with our premium photography package.,"3475 Cedar Trail, Woodstock, GA",Cherokee,,marketing_promo,P3,ARCHIVE
SMS-0104,sms,2026-03-29T14:52:00Z,Tester Buyer-Smith,+14045550199,"Light bulb in the hallway burned out, no rush.","5748 Willow Pkwy, Smyrna, GA",Cobb,,maintenance,P3,Noa
SMS-0105,sms,2026-04-19T03:23:00Z,Tester Buyer-Smith,+14045550199,"Need your signature on the addendum for 2317 Willow Pkwy, Dunwoody, GA before 5pm.","2317 Willow Pkwy, Dunwoody, GA",DeKalb,,contract,P1,Noa
SMS-0106,sms,2026-05-14T02:12:00Z,Tester Buyer-Smith,+14045550199,"The painter quoted $1,800 for unit B at 1134 Birch Ct, Brookhaven, GA - does that look right?","1134 Birch Ct, Brookhaven, GA",DeKalb,,vendor,P2,Noa
SMS-0107,sms,2026-04-28T15:28:00Z,Tester Buyer-Smith,+14045550199,"Vendor said they'd be here at 10am, no show. Can you check on them?","9102 Birch Ct, Sugar Hill, GA",Gwinnett,,maintenance,P2,Noa
SMS-0108,sms,2026-04-10T13:53:00Z,Tester Buyer-Smith,+14045550199,Got the inspection report back. There are 3 items I'd like to negotiate.,"3312 Willow Pkwy, Decatur, GA",DeKalb,,deal,P1,Nathalie
SMS-0109,sms,2026-04-15T19:40:00Z,Tester Buyer-Smith,+14045550199,"Locked out of 2872 Maple Dr, Canton, GA at 11pm with the kids in the car.","2872 Maple Dr, Canton, GA",Cherokee,,tenant_issue,P0,Nathalie
SMS-0110,sms,2026-03-19T21:50:00Z,Tester Buyer-Smith,+14045550199,"Just confirming the security deposit is $1,500 not $2,000 like the email said.","4426 Sycamore Blvd, Roswell, GA",Fulton,,billing,P3,Noa
SMS-0111,sms,2026-04-25T13:47:00Z,Tester Buyer-Smith,+14045550199,The dog has a vet appointment Thursday at 10am.,"6197 Birch Ct, Roswell, GA",Fulton,,personal,P3,ARCHIVE
SMS-0112,sms,2026-05-13T16:34:00Z,Tester Buyer-Smith,+14045550199,"Pickup at school is at 3:15 today, can you grab the kids?","4016 Peachtree St, Cumming, GA",Forsyth,,personal,P3,ARCHIVE
SMS-0113,sms,2026-03-24T09:43:00Z,Tester Buyer-Smith,+14045550199,"Just confirming the security deposit is $1,500 not $2,000 like the email said.","4296 Magnolia Ln, Cumming, GA",Forsyth,,billing,P3,Noa
SMS-0114,sms,2026-04-09T18:31:00Z,Tester Buyer-Smith,+14045550199,"EMERGENCY - water is pouring from the ceiling in unit at 5325 Riverbend Way, Smyrna, GA!!","5325 Riverbend Way, Smyrna, GA",Cobb,,tenant_issue,P0,Nathalie
SMS-0115,sms,2026-05-16T09:18:00Z,Tester Buyer-Smith,+14045550199,Mom's birthday is next week - did you order the cake?,"4853 Peachtree St, Cumming, GA",Forsyth,,personal,P3,ARCHIVE
SMS-0116,sms,2026-05-11T08:58:00Z,Tester Buyer-Smith,+14045550199,Your monthly newsletter from RealEstateDigest is here.,"4680 Cedar Trail, Roswell, GA",Fulton,,marketing_promo,P3,ARCHIVE
SMS-0117,sms,2026-04-20T14:45:00Z,Tester Buyer-Smith,+14045550199,"Running 15 min late to the showing at 7824 Oak Ave, Dunwoody, GA, please tell the agent.","7824 Oak Ave, Dunwoody, GA",DeKalb,,showing,P1,Nathalie
SMS-0118,sms,2026-04-01T02:13:00Z,Tester Buyer-Smith,+14045550199,"Pickup at school is at 3:15 today, can you grab the kids?","7535 Oak Ave, Woodstock, GA",Cherokee,,personal,P3,ARCHIVE
SMS-0119,sms,2026-05-15T21:46:00Z,Tester Buyer-Smith,+14045550199,Saw a roach in the kitchen - can pest control come this week?,"4532 Riverbend Way, Brookhaven, GA",DeKalb,,tenant_issue,P2,Nathalie
