msg_id,channel,received_at,sender_name,sender_email,subject,body,address_in_msg,county_in_msg,listing_in_msg,bucket,expected_topic,expected_urgency,expected_owner
EM-0011,email,2026-04-21T20:30:00Z,Tara Levi,tara.levi84@yahoo.com,Hey :),"Pickup at school is at 3:15 today, can you grab the kids?",,,,non_business,personal,P3,ARCHIVE
EM-0012,email,2026-04-11T22:46:00Z,Aisha Miller,aisha.miller74@icloud.com,Urgent - apartment issue,"EMERGENCY - water is pouring from the ceiling in unit at 9289 Oak Ave, Kennesaw, GA!!","9289 Oak Ave, Kennesaw, GA",Cobb,,rent_manage,tenant_issue,P0,Nathalie
EM-0013,email,2026-03-22T14:10:00Z,John Levi,john.levi64@outlook.com,Payment / billing,Got a late fee but I have proof I paid on time. Can we sort this out?,"9551 Peachtree St, Woodstock, GA",Cherokee,,rent_manage,billing,P2,Noa
EM-0014,email,2026-05-10T17:55:00Z,Nina Nguyen,nina.nguyen73@outlook.com,Hey :),Dentist appointment confirmed for Tuesday 2pm.,,,,non_business,personal,P3,ARCHIVE
EM-0015,email,2026-03-30T15:15:00Z,Mike Park,mike.park34@yahoo.com,Urgent - apartment issue,"No heat for 2 days now, my baby is freezing. 4672 Riverbend Way, Sandy Springs, GA","4672 Riverbend Way, Sandy Springs, GA",Fulton,,rent_manage,tenant_issue,P0,Nathalie
EM-0016,email,2026-03-29T22:27:00Z,Maria Johnson,maria.johnson92@outlook.com,Question about your listing,Need to move ASAP - relocating for work in 3 weeks. Can you call me today?,"4488 Cedar Trail, Cumming, GA",Forsyth,,buy_sell,buyer_lead,P1,Fabi
EM-0017,email,2026-03-26T23:45:00Z,Rachel Singh,rachel.singh41@gmail.com,Hey :),Yoga class moved to 7am tomorrow. Want to come?,,,,non_business,personal,P3,ARCHIVE
EM-0018,email,2026-04-24T21:27:00Z,Tara Martinez,tara.martinez58@yahoo.com,Offer / deal update,Got the inspection report back. There are 3 items I'd like to negotiate.,"4308 Birch Ct, Cumming, GA",Forsyth,,buy_sell,deal,P1,Nathalie
EM-0019,email,2026-05-08T03:49:00Z,Rachel Johnson,rachel.johnson27@icloud.com,Hey :),The dog has a vet appointment Thursday at 10am.,,,,non_business,personal,P3,ARCHIVE
EM-0020,email,2026-05-12T11:02:00Z,Priya Adams,priya.adams69@gmail.com,Offer / deal update,Closing tomorrow at 9am and the wire instructions look wrong - help!,"908 Riverbend Way, Sugar Hill, GA",Gwinnett,,buy_sell,deal,P0,Nathalie
EM-0021,email,2026-05-17T00:34:00Z,Definitely Not A Scam,win175@spam.example,YOU WON,Urgent: your bank account needs verification. Visit https://phish.example/,,,,non_business,spam,P3,ARCHIVE
EM-0022,email,2026-04-16T20:32:00Z,Linda Miller,linda.miller78@yahoo.com,Calendar question,"Can we set up a walkthrough next Tuesday for the move-out at 7153 Pine Rd, Cumming, GA?","7153 Pine Rd, Cumming, GA",Forsyth,,rent_manage,scheduling,P2,Noa
EM-0023,email,2026-04-09T09:01:00Z,Rachel Bell,rachel.bell73@yahoo.com,Payment / billing,Got a late fee but I have proof I paid on time. Can we sort this out?,"7508 Oak Ave, Woodstock, GA",Cherokee,,rent_manage,billing,P2,Noa
EM-0024,email,2026-03-22T20:49:00Z,David Park,david.park80@example-mail.test,Calendar question,"Can we set up a walkthrough next Tuesday for the move-out at 5409 Riverbend Way, Canton, GA?","5409 Riverbend Way, Canton, GA",Cherokee,,rent_manage,scheduling,P2,Noa
EM-0025,email,2026-05-06T05:05:00Z,Marketing Promo Co,newsletter@sendgrid.net,You've gotta see this offer,FLASH SALE - 50% off everything at our store this weekend only!,,,,non_business,marketing_promo,P3,ARCHIVE
EM-0026,email,2026-03-26T07:14:00Z,Sara Patel,sara.patel82@example-mail.test,Question about your listing,Need to move ASAP - relocating for work in 3 weeks. Can you call me today?,"9549 Magnolia Ln, Smyrna, GA",Cobb,,buy_sell,buyer_lead,P1,Fabi
EM-0027,email,2026-05-10T15:12:00Z,Hannah Martinez,hannah.martinez24@outlook.com,Contract / signature needed,Question on clause 7.b of the contract - what does 'as-is' really mean here?,"8547 Oak Ave, Decatur, GA",DeKalb,,buy_sell,contract,P2,Noa
EM-0028,email,2026-04-30T05:02:00Z,Sophie Garcia,sophie.garcia6@gmail.com,Offer / deal update,Closing tomorrow at 9am and the wire instructions look wrong - help!,"806 Birch Ct, Roswell, GA",Fulton,,buy_sell,deal,P0,Nathalie
EM-0029,email,2026-03-26T12:43:00Z,Sophie Park,sophie.park31@outlook.com,Hey :),The dog has a vet appointment Thursday at 10am.,,,,non_business,personal,P3,ARCHIVE
EM-0030,email,2026-05-04T18:32:00Z,Ethan Cohen,ethan.cohen28@yahoo.com,Question about your listing,Looking for a 3BR/2BA in Gwinnett county under $550k. Do you have anything coming up?,"4902 Peachtree St, Lawrenceville, GA",Gwinnett,,buy_sell,buyer_lead,P2,Fabi
EM-0031,email,2026-04-16T14:36:00Z,Aisha Adams,aisha.adams71@icloud.com,Question about your listing,Looking for a 3BR/2BA in Forsyth county under $550k. Do you have anything coming up?,"431 Maple Dr, Cumming, GA",Forsyth,,buy_sell,buyer_lead,P2,Fabi
EM-0032,email,2026-03-31T17:45:00Z,Olivia Cohen,olivia.cohen39@example-mail.test,Selling our home,"Hi Nathalie, I'd like to sell my house at 985 Oak Ave, Roswell, GA. What's the market like in Fulton right now?","985 Oak Ave, Roswell, GA",Fulton,,buy_sell,seller_lead,P2,Nathalie
EM-0033,email,2026-03-27T15:16:00Z,Emily Singh,emily.singh16@example-mail.test,Hey :),FYI we're out of milk. Can you grab some on the way home?,,,,non_business,personal,P3,ARCHIVE
EM-0034,email,2026-03-23T19:31:00Z,Lisa Levi,lisa.levi74@example-mail.test,Showing time change,"I'm at 9764 Sycamore Blvd, Decatur, GA but the door is locked. Are you on the way?","9764 Sycamore Blvd, Decatur, GA",DeKalb,,buy_sell,showing,P1,Nathalie
EM-0035,email,2026-05-15T20:58:00Z,Ryan Johnson,ryan.johnson7@outlook.com,Document request,Lender needs proof of homeowners insurance by end of day.,"7146 Sycamore Blvd, Cumming, GA",Forsyth,,buy_sell,document,P1,Noa
EM-0036,email,2026-05-07T13:28:00Z,Pavel Nguyen,pavel.nguyen97@yahoo.com,Document request,"Could you send me the seller's disclosure for 7552 Birch Ct, Canton, GA (MLS MLS-7890263)?","7552 Birch Ct, Canton, GA",Cherokee,MLS-7890263,buy_sell,document,P2,Noa
EM-0037,email,2026-05-16T20:55:00Z,Tom Park,tom.park89@gmail.com,Selling our home,Considering listing the property in Gwinnett - can we schedule a CMA?,"9670 Riverbend Way, Lawrenceville, GA",Gwinnett,,buy_sell,seller_lead,P2,Fabi
EM-0038,email,2026-03-20T21:53:00Z,Jorge Johnson,jorge.johnson49@icloud.com,Maintenance follow-up,"Light bulb in the hallway burned out, no rush.","7078 Magnolia Ln, Dunwoody, GA",DeKalb,,rent_manage,maintenance,P3,Noa
EM-0039,email,2026-03-23T23:48:00Z,Linda Levi,linda.levi39@outlook.com,Payment / billing,"Just confirming the security deposit is $1,500 not $2,000 like the email said.","7952 Pine Rd, Cumming, GA",Forsyth,,rent_manage,billing,P3,Noa
EM-0040,email,2026-05-09T09:41:00Z,Sara Patel,sara.patel90@icloud.com,Urgent - apartment issue,"No heat for 2 days now, my baby is freezing. 8079 Peachtree St, Smyrna, GA","8079 Peachtree St, Smyrna, GA",Cobb,,rent_manage,tenant_issue,P0,Nathalie
EM-0041,email,2026-05-04T12:24:00Z,Brian Nguyen,brian.nguyen77@gmail.com,Question about your listing,"Hi, I saw the listing at 4917 Peachtree St, Duluth, GA. Is it still available? I'd love a tour this weekend.","4917 Peachtree St, Duluth, GA",Gwinnett,,buy_sell,buyer_lead,P2,Fabi
EM-0042,email,2026-05-17T02:47:00Z,Jorge Brown,jorge.brown53@outlook.com,Maintenance follow-up,"Light bulb in the hallway burned out, no rush.","7540 Oak Ave, Cumming, GA",Forsyth,,rent_manage,maintenance,P3,Noa
EM-0043,email,2026-04-05T14:51:00Z,Chris Williams,chris.williams64@outlook.com,Admin / paperwork,"HOA sent a notice about new pool hours, forwarding to you.","2438 Riverbend Way, Duluth, GA",Gwinnett,,rent_manage,admin,P3,Noa
EM-0044,email,2026-03-31T06:44:00Z,Marketing Promo Co,newsletter@mailchimp.com,You've gotta see this offer,Are you a real estate agent? Try our new CRM free for 30 days.,,,,non_business,marketing_promo,P3,ARCHIVE
EM-0045,email,2026-03-28T07:37:00Z,Chris Brown,chris.brown68@gmail.com,Hey :),"Hey, want to grab dinner Friday at that new ramen place?",,,,non_business,personal,P3,ARCHIVE
EM-0046,email,2026-04-21T01:43:00Z,Ben Park,ben.park57@gmail.com,Hey :),Mom's birthday is next week - did you order the cake?,,,,non_business,personal,P3,ARCHIVE
EM-0047,email,2026-04-02T00:50:00Z,Rachel Singh,rachel.singh76@icloud.com,Urgent - apartment issue,"EMERGENCY - water is pouring from the ceiling in unit at 1435 Cedar Trail, Sugar Hill, GA!!","1435 Cedar Trail, Sugar Hill, GA",Gwinnett,,rent_manage,tenant_issue,P0,Nathalie
EM-0048,email,2026-04-10T21:57:00Z,Priya Khan,priya.khan58@outlook.com,Hey :),Yoga class moved to 7am tomorrow. Want to come?,,,,non_business,personal,P3,ARCHIVE
EM-0049,email,2026-05-12T17:58:00Z,Jorge Rodriguez,jorge.rodriguez30@icloud.com,Question about your listing,"Hi, I saw the listing at 9508 Birch Ct, Woodstock, GA. Is it still available? I'd love a tour this weekend.","9508 Birch Ct, Woodstock, GA",Cherokee,,buy_sell,buyer_lead,P2,Fabi
EM-0050,email,2026-03-30T15:13:00Z,Aisha Nguyen,aisha.nguyen23@gmail.com,Showing time change,"Can we move tomorrow's showing at 3566 Magnolia Ln, Sugar Hill, GA from 4pm to 6pm?","3566 Magnolia Ln, Sugar Hill, GA",Gwinnett,,buy_sell,showing,P2,Fabi
EM-0051,email,2026-04-10T18:55:00Z,Marco Martinez,marco.martinez89@icloud.com,Hey :),"Hey, want to grab dinner Friday at that new ramen place?",,,,non_business,personal,P3,ARCHIVE
EM-0052,email,2026-05-04T18:24:00Z,Tara Romano,tara.romano84@yahoo.com,Vendor quote,"Plumber invoice for 3022 Willow Pkwy, Lawrenceville, GA - approving with your sign-off.","3022 Willow Pkwy, Lawrenceville, GA",Gwinnett,,rent_manage,vendor,P3,Noa
EM-0053,email,2026-03-21T04:49:00Z,John Singh,john.singh30@example-mail.test,Hey :),"Hey, want to grab dinner Friday at that new ramen place?",,,,non_business,personal,P3,ARCHIVE
EM-0054,email,2026-04-12T07:09:00Z,Marketing Promo Co,newsletter@sendgrid.net,You've gotta see this offer,FLASH SALE - 50% off everything at our store this weekend only!,,,,non_business,marketing_promo,P3,ARCHIVE
EM-0055,email,2026-05-13T21:21:00Z,Definitely Not A Scam,win596@spam.example,YOU WON,I'm a Nigerian prince and need your help moving $25M...,,,,non_business,spam,P3,ARCHIVE
EM-0056,email,2026-03-29T20:01:00Z,David Romano,david.romano89@gmail.com,Question about your listing,"Hi, I saw the listing at 2984 Cedar Trail, Woodstock, GA. Is it still available? I'd love a tour this weekend.","2984 Cedar Trail, Woodstock, GA",Cherokee,,buy_sell,buyer_lead,P2,Fabi
EM-0057,email,2026-05-02T09:24:00Z,Sara Brown,sara.brown89@gmail.com,Hey :),The dog has a vet appointment Thursday at 10am.,,,,non_business,personal,P3,ARCHIVE
EM-0058,email,2026-05-08T06:03:00Z,Olivia Williams,olivia.williams25@yahoo.com,Contract / signature needed,"Need to renew the lease at 472 Pine Rd, Duluth, GA. Can you send the renewal terms?","472 Pine Rd, Duluth, GA",Gwinnett,,rent_manage,contract,P2,Noa
EM-0059,email,2026-04-22T14:51:00Z,Nina Patel,nina.patel97@yahoo.com,Maintenance follow-up,The work order #4421 for the dishwasher - any update?,"5679 Maple Dr, Cumming, GA",Forsyth,,rent_manage,maintenance,P2,Noa
EM-0060,email,2026-03-18T15:25:00Z,Definitely Not A Scam,win544@spam.example,YOU WON,Urgent: your bank account needs verification. Visit https://phish.example/,,,,non_business,spam,P3,ARCHIVE
EM-0061,email,2026-05-04T20:32:00Z,Ben Nguyen,ben.nguyen42@yahoo.com,Urgent - apartment issue,"AC stopped cooling at 5940 Maple Dr, Marietta, GA. Indoor temp is 84F.","5940 Maple Dr, Marietta, GA",Cobb,,rent_manage,tenant_issue,P1,Nathalie
EM-0062,email,2026-03-22T06:22:00Z,Pavel Brown,pavel.brown2@icloud.com,Urgent - apartment issue,"Bathroom faucet is dripping non-stop, can a plumber come look?","8393 Riverbend Way, Duluth, GA",Gwinnett,,rent_manage,tenant_issue,P2,Nathalie
EM-0063,email,2026-03-22T05:57:00Z,Definitely Not A Scam,win640@spam.example,YOU WON,"CLAIM YOUR PRIZE NOW - you've won $10,000! Click here: http://scam.example/",,,,non_business,spam,P3,ARCHIVE
EM-0064,email,2026-03-25T01:43:00Z,Marketing Promo Co,newsletter@marketing.example.com,You've gotta see this offer,Atlanta Realtors Network: invitation to our May mixer.,,,,non_business,marketing_promo,P3,ARCHIVE
EM-0065,email,2026-04-04T12:33:00Z,Ethan Cohen,ethan.cohen87@example-mail.test,Hey :),"Hey, want to grab dinner Friday at that new ramen place?",,,,non_business,personal,P3,ARCHIVE
EM-0066,email,2026-04-26T10:30:00Z,Olivia Khan,olivia.khan14@yahoo.com,Hey :),Dentist appointment confirmed for Tuesday 2pm.,,,,non_business,personal,P3,ARCHIVE
EM-0067,email,2026-03-29T14:41:00Z,Emily Levi,emily.levi76@outlook.com,Vendor quote,"The painter quoted $1,800 for unit B at 5016 Oak Ave, Cumming, GA - does that look right?","5016 Oak Ave, Cumming, GA",Forsyth,,rent_manage,vendor,P2,Noa
EM-0068,email,2026-04-15T01:44:00Z,Nina Patel,nina.patel88@outlook.com,Showing time change,"I'm at 2817 Peachtree St, Canton, GA but the door is locked. Are you on the way?","2817 Peachtree St, Canton, GA",Cherokee,,buy_sell,showing,P1,Fabi
EM-0069,email,2026-04-08T08:50:00Z,Marketing Promo Co,newsletter@constantcontact.com,You've gotta see this offer,Your monthly newsletter from RealEstateDigest is here.,,,,non_business,marketing_promo,P3,ARCHIVE
EM-0070,email,2026-04-09T19:20:00Z,Tara Miller,tara.miller43@yahoo.com,Hey :),Mom's birthday is next week - did you order the cake?,,,,non_business,personal,P3,ARCHIVE
EM-0071,email,2026-04-22T02:54:00Z,Aisha Garcia,aisha.garcia89@example-mail.test,Payment / billing,I paid rent on the 1st but it doesn't show in the portal yet.,"7054 Cedar Trail, Dunwoody, GA",DeKalb,,rent_manage,billing,P2,Noa
EM-0072,email,2026-03-30T06:27:00Z,Emily Martinez,emily.martinez5@outlook.com,Question about your listing,"Hi, I saw the listing at 313 Magnolia Ln, Kennesaw, GA. Is it still available? I'd love a tour this weekend.","313 Magnolia Ln, Kennesaw, GA",Cobb,,buy_sell,buyer_lead,P2,Fabi
EM-0073,email,2026-04-12T08:14:00Z,John Johnson,john.johnson66@yahoo.com,Urgent - apartment issue,Saw a roach in the kitchen - can pest control come this week?,"3342 Sycamore Blvd, Dunwoody, GA",DeKalb,,rent_manage,tenant_issue,P2,Nathalie
EM-0074,email,2026-04-15T20:18:00Z,Jorge Garcia,jorge.garcia2@yahoo.com,Payment / billing,I paid rent on the 1st but it doesn't show in the portal yet.,"8167 Willow Pkwy, Cumming, GA",Forsyth,,rent_manage,billing,P2,Noa
EM-0075,email,2026-03-22T13:35:00Z,Jorge Miller,jorge.miller26@gmail.com,Urgent - apartment issue,"Bathroom faucet is dripping non-stop, can a plumber come look?","9975 Maple Dr, Lawrenceville, GA",Gwinnett,,rent_manage,tenant_issue,P2,Nathalie
EM-0076,email,2026-04-21T21:35:00Z,Tara Williams,tara.williams27@gmail.com,Urgent - apartment issue,"AC stopped cooling at 861 Peachtree St, Duluth, GA. Indoor temp is 84F.","861 Peachtree St, Duluth, GA",Gwinnett,,rent_manage,tenant_issue,P1,Nathalie
EM-0077,email,2026-05-09T15:10:00Z,Marketing Promo Co,newsletter@constantcontact.com,You've gotta see this offer,FLASH SALE - 50% off everything at our store this weekend only!,,,,non_business,marketing_promo,P3,ARCHIVE
EM-0078,email,2026-05-01T02:01:00Z,Jorge Singh,jorge.singh13@outlook.com,Admin / paperwork,"Insurance renewal for 5617 Sycamore Blvd, Canton, GA is due next month.","5617 Sycamore Blvd, Canton, GA",Cherokee,,rent_manage,admin,P3,Noa
EM-0079,email,2026-05-04T04:29:00Z,Priya Bell,priya.bell74@icloud.com,Contract / signature needed,"Need your signature on the addendum for 7953 Sycamore Blvd, Cumming, GA before 5pm.","7953 Sycamore Blvd, Cumming, GA",Forsyth,,buy_sell,contract,P1,Noa
EM-0080,email,2026-05-06T17:50:00Z,Marketing Promo Co,newsletter@mailchimp.com,You've gotta see this offer,Atlanta Realtors Network: invitation to our May mixer.,,,,non_business,marketing_promo,P3,ARCHIVE
EM-0081,email,2026-03-21T00:25:00Z,Ethan Rodriguez,ethan.rodriguez54@gmail.com,Offer / deal update,"Appraisal came in at $620k for 5415 Magnolia Ln, Cumming, GA. Numbers look good.","5415 Magnolia Ln, Cumming, GA",Forsyth,,buy_sell,deal,P2,Nathalie
EM-0082,email,2026-05-13T08:09:00Z,Marco Levi,marco.levi29@icloud.com,Offer / deal update,"Counter-offer received on 268 Pine Rd, Sugar Hill, GA - they want 5k more. What do you think?","268 Pine Rd, Sugar Hill, GA",Gwinnett,,buy_sell,deal,P1,Nathalie
EM-0083,email,2026-04-07T08:42:00Z,Linda Bell,linda.bell27@outlook.com,Offer / deal update,Closing tomorrow at 9am and the wire instructions look wrong - help!,"1534 Birch Ct, Marietta, GA",Cobb,,buy_sell,deal,P0,Nathalie
EM-0084,email,2026-05-02T11:34:00Z,Daniel Patel,daniel.patel71@icloud.com,Hey :),"Hey, want to grab dinner Friday at that new ramen place?",,,,non_business,personal,P3,ARCHIVE
EM-0085,email,2026-05-07T00:50:00Z,Sara Williams,sara.williams98@icloud.com,Hey :),Yoga class moved to 7am tomorrow. Want to come?,,,,non_business,personal,P3,ARCHIVE
EM-0086,email,2026-04-18T18:15:00Z,Aisha Patel,aisha.patel97@yahoo.com,Showing time change,"Running 15 min late to the showing at 9620 Maple Dr, Cumming, GA, please tell the agent.","9620 Maple Dr, Cumming, GA",Forsyth,,buy_sell,showing,P1,Fabi
EM-0087,email,2026-05-04T09:44:00Z,Chris Bell,chris.bell27@gmail.com,Payment / billing,"Just confirming the security deposit is $1,500 not $2,000 like the email said.","2948 Magnolia Ln, Cumming, GA",Forsyth,,rent_manage,billing,P3,Noa
EM-0088,email,2026-03-22T15:52:00Z,Marketing Promo Co,newsletter@constantcontact.com,You've gotta see this offer,FLASH SALE - 50% off everything at our store this weekend only!,,,,non_business,marketing_promo,P3,ARCHIVE
EM-0089,email,2026-04-25T21:39:00Z,Marketing Promo Co,newsletter@sendgrid.net,You've gotta see this offer,Your monthly newsletter from RealEstateDigest is here.,,,,non_business,marketing_promo,P3,ARCHIVE
EM-0090,email,2026-04-21T03:31:00Z,Aaron Singh,aaron.singh47@gmail.com,Question about your listing,Need to move ASAP - relocating for work in 3 weeks. Can you call me today?,"6538 Birch Ct, Smyrna, GA",Cobb,,buy_sell,buyer_lead,P1,Fabi
EM-0091,email,2026-05-12T01:05:00Z,Ben Park,ben.park40@gmail.com,Hey :),Dentist appointment confirmed for Tuesday 2pm.,,,,non_business,personal,P3,ARCHIVE
EM-0092,email,2026-04-09T07:13:00Z,Definitely Not A Scam,win772@spam.example,YOU WON,I'm a Nigerian prince and need your help moving $25M...,,,,non_business,spam,P3,ARCHIVE
EM-0093,email,2026-04-09T23:49:00Z,Hannah Martinez,hannah.martinez91@example-mail.test,Document request,Lender needs proof of homeowners insurance by end of day.,"3235 Oak Ave, Canton, GA",Cherokee,,buy_sell,document,P1,Noa
EM-0094,email,2026-05-05T11:29:00Z,Linda Brown,linda.brown84@outlook.com,Urgent - apartment issue,"Neighbor in unit B has been playing loud music until 2am for a week. 1950 Maple Dr, Lawrenceville, GA","1950 Maple Dr, Lawrenceville, GA",Gwinnett,,rent_manage,tenant_issue,P2,Nathalie
EM-0095,email,2026-05-14T22:42:00Z,Sophie Bell,sophie.bell52@example-mail.test,Selling our home,Considering listing the property in Cobb - can we schedule a CMA?,"2685 Riverbend Way, Marietta, GA",Cobb,,buy_sell,seller_lead,P2,Fabi
EM-0096,email,2026-05-14T04:43:00Z,Nina Romano,nina.romano69@outlook.com,Hey :),FYI we're out of milk. Can you grab some on the way home?,,,,non_business,personal,P3,ARCHIVE
EM-0097,email,2026-05-10T19:04:00Z,Emily Patel,emily.patel2@example-mail.test,Maintenance follow-up,"Vendor said they'd be here at 10am, no show. Can you check on them?","4102 Magnolia Ln, Kennesaw, GA",Cobb,,rent_manage,maintenance,P2,Noa
EM-0098,email,2026-03-23T08:26:00Z,Definitely Not A Scam,win435@spam.example,YOU WON,I'm a Nigerian prince and need your help moving $25M...,,,,non_business,spam,P3,ARCHIVE
EM-0099,email,2026-05-08T07:12:00Z,Tara Singh,tara.singh26@outlook.com,Urgent - apartment issue,"Gas leak smell in the apartment, I called 911. 1472 Birch Ct, Duluth, GA","1472 Birch Ct, Duluth, GA",Gwinnett,,rent_manage,tenant_issue,P0,Nathalie
EM-0100,email,2026-05-02T13:12:00Z,Priya Miller,priya.miller93@example-mail.test,Maintenance follow-up,"Light bulb in the hallway burned out, no rush.","7245 Pine Rd, Cumming, GA",Forsyth,,rent_manage,maintenance,P3,Noa
EM-0101,email,2026-03-19T05:03:00Z,Mike Brown,mike.brown1@outlook.com,Urgent - apartment issue,Saw a roach in the kitchen - can pest control come this week?,"7582 Birch Ct, Atlanta, GA",Fulton,,rent_manage,tenant_issue,P2,Nathalie
EM-0102,email,2026-05-05T23:07:00Z,Chris Romano,chris.romano14@example-mail.test,Offer / deal update,Got the inspection report back. There are 3 items I'd like to negotiate.,"8941 Peachtree St, Canton, GA",Cherokee,,buy_sell,deal,P1,Nathalie
EM-0103,email,2026-04-03T07:43:00Z,Tom Singh,tom.singh85@icloud.com,Maintenance follow-up,"Light bulb in the hallway burned out, no rush.","3310 Willow Pkwy, Cumming, GA",Forsyth,,rent_manage,maintenance,P3,Noa
EM-0104,email,2026-04-29T20:03:00Z,Definitely Not A Scam,win794@spam.example,YOU WON,I'm a Nigerian prince and need your help moving $25M...,,,,non_business,spam,P3,ARCHIVE
EM-0105,email,2026-04-26T07:24:00Z,Maria Brown,maria.brown12@example-mail.test,Hey :),"Pickup at school is at 3:15 today, can you grab the kids?",,,,non_business,personal,P3,ARCHIVE
EM-0106,email,2026-04-12T02:21:00Z,Kate Nguyen,kate.nguyen85@example-mail.test,Hey :),FYI we're out of milk. Can you grab some on the way home?,,,,non_business,personal,P3,ARCHIVE
EM-0107,email,2026-04-29T15:31:00Z,Daniel Davis,daniel.davis91@gmail.com,Contract / signature needed,"Need to renew the lease at 8173 Peachtree St, Cumming, GA. Can you send the renewal terms?","8173 Peachtree St, Cumming, GA",Forsyth,,rent_manage,contract,P2,Noa
EM-0108,email,2026-03-25T13:49:00Z,Marketing Promo Co,newsletter@mailchimp.com,You've gotta see this offer,FLASH SALE - 50% off everything at our store this weekend only!,,,,non_business,marketing_promo,P3,ARCHIVE
EM-0109,email,2026-05-01T09:52:00Z,Aaron Cohen,aaron.cohen58@example-mail.test,Offer / deal update,"Counter-offer received on 4903 Peachtree St, Woodstock, GA - they want 5k more. What do you think?","4903 Peachtree St, Woodstock, GA",Cherokee,,buy_sell,deal,P1,Nathalie
EM-0110,email,2026-04-02T00:43:00Z,Linda Williams,linda.williams78@outlook.com,Showing time change,"Running 15 min late to the showing at 1132 Willow Pkwy, Sandy Springs, GA, please tell the agent.","1132 Willow Pkwy, Sandy Springs, GA",Fulton,,buy_sell,showing,P1,Nathalie
EM-0111,email,2026-05-10T03:44:00Z,Anna Johnson,anna.johnson81@yahoo.com,Vendor quote,"The painter quoted $1,800 for unit B at 1648 Pine Rd, Woodstock, GA - does that look right?","1648 Pine Rd, Woodstock, GA",Cherokee,,rent_manage,vendor,P2,Noa
EM-0112,email,2026-04-13T02:51:00Z,Pavel Miller,pavel.miller84@example-mail.test,Urgent - apartment issue,"EMERGENCY - water is pouring from the ceiling in unit at 5435 Pine Rd, Cumming, GA!!","5435 Pine Rd, Cumming, GA",Forsyth,,rent_manage,tenant_issue,P0,Nathalie
EM-0113,email,2026-03-28T20:49:00Z,Priya Miller,priya.miller35@icloud.com,Hey :),Mom's birthday is next week - did you order the cake?,,,,non_business,personal,P3,ARCHIVE
EM-0114,email,2026-05-04T17:17:00Z,Lisa Miller,lisa.miller44@outlook.com,Urgent - apartment issue,"No heat for 2 days now, my baby is freezing. 6722 Pine Rd, Woodstock, GA","6722 Pine Rd, Woodstock, GA",Cherokee,,rent_manage,tenant_issue,P0,Nathalie
EM-0115,email,2026-04-20T09:21:00Z,Marketing Promo Co,newsletter@sendgrid.net,You've gotta see this offer,Atlanta Realtors Network: invitation to our May mixer.,,,,non_business,marketing_promo,P3,ARCHIVE
